Gene stable ID	Gene stable ID version	Gene name	NCBI gene (formerly Entrezgene) ID
ENSG00000167670	ENSG00000167670.16	CHAF1A	10036
ENSG00000206650	ENSG00000206650.1	SNORA70G	100379132
ENSG00000293496	ENSG00000293496.1	TMED11P	100379220
ENSG00000156273	ENSG00000156273.16	BACH1	100379661
ENSG00000291803	ENSG00000291803.1	PARP2	10038
ENSG00000129484	ENSG00000129484.14	PARP2	10038
ENSG00000257315	ENSG00000257315.4	ZBED6	100381270
ENSG00000041880	ENSG00000041880.15	PARP3	10039
ENSG00000141198	ENSG00000141198.16	TOM1L1	10040
ENSG00000290441	ENSG00000290441.1		100419170
ENSG00000100281	ENSG00000100281.14	HMGXB4	10042
ENSG00000290956	ENSG00000290956.1	FAM21EP	100421577
ENSG00000265396	ENSG00000265396.1	MIR3128	100422824
ENSG00000267959	ENSG00000267959.3	MIR3188	100422833
ENSG00000265871	ENSG00000265871.1	MIR3174	100422841
ENSG00000265539	ENSG00000265539.1	MIR3164	100422846
ENSG00000265355	ENSG00000265355.1	MIR3136	100422859
ENSG00000264934	ENSG00000264934.1	MIR4265	100422863
ENSG00000263793	ENSG00000263793.1	MIR3115	100422866
ENSG00000283429	ENSG00000283429.1	MIR1244-3	100422872
ENSG00000265137	ENSG00000265137.3	MIR3192	100422875
ENSG00000264500	ENSG00000264500.1	MIR3124	100422879
ENSG00000283498	ENSG00000283498.1	MIR1244-2	100422885
ENSG00000283876	ENSG00000283876.1	MIR4260	100422894
ENSG00000264678	ENSG00000264678.1	MIR3140	100422896
ENSG00000264763	ENSG00000264763.1	MIR4295	100422909
ENSG00000264014	ENSG00000264014.1	MIR4253	100422914
ENSG00000239118	ENSG00000239118.1	MIR1972-2	100422922
ENSG00000265333	ENSG00000265333.1	MIR3137	100422926
ENSG00000265112	ENSG00000265112.1	MIR3153	100422936
ENSG00000264633	ENSG00000264633.1	MIR4271	100422952
ENSG00000284172	ENSG00000284172.1	MIR4315-2	100422961
ENSG00000265321	ENSG00000265321.1	MIR4263	100422965
ENSG00000265932	ENSG00000265932.1	MIR3146	100422967
ENSG00000265195	ENSG00000265195.1	MIR4312	100422971
ENSG00000266232	ENSG00000266232.1	MIR3178	100422974
ENSG00000221603	ENSG00000221603.1	MIR1184-3	100422977
ENSG00000265432	ENSG00000265432.1	MIR4308	100422984
ENSG00000221190	ENSG00000221190.1	MIR1184-2	100422985
ENSG00000263628	ENSG00000263628.1	MIR3155A	100422989
ENSG00000266192	ENSG00000266192.3	MIR1260B	100422991
ENSG00000284324	ENSG00000284324.1	MIR3175	100422995
ENSG00000264553	ENSG00000264553.1	MIR4257	100422997
ENSG00000284399	ENSG00000284399.1	MIR3184	100423003
ENSG00000284055	ENSG00000284055.1	MIR4315-1	100423004
ENSG00000264931	ENSG00000264931.1	MIR3138	100423011
ENSG00000288415	ENSG00000288415.1	MIR4298	100423021
ENSG00000264493	ENSG00000264493.1	MIR4298	100423021
ENSG00000264757	ENSG00000264757.1	MIR3198-1	100423025
ENSG00000265435	ENSG00000265435.1	MIR3121	100423032
ENSG00000253008	ENSG00000253008.2	MIR2355	100423036
ENSG00000254709	ENSG00000254709.8	IGLL5	100423062
ENSG00000100284	ENSG00000100284.22	TOM1	10043
ENSG00000095370	ENSG00000095370.20	SH2D3C	10044
ENSG00000013619	ENSG00000013619.15	MAMLD1	10046
ENSG00000010017	ENSG00000010017.13	RANBP9	10048
ENSG00000105993	ENSG00000105993.15	DNAJB6	10049
ENSG00000237248	ENSG00000237248.6	LINC00987	100499405
ENSG00000197816	ENSG00000197816.16	CCDC180	100499483
ENSG00000254876	ENSG00000254876.5	SUGT1P4-STRA6LP	100499484
ENSG00000284135	ENSG00000284135.1	MIR3654	100500804
ENSG00000283938	ENSG00000283938.1	MIR3917	100500808
ENSG00000284163	ENSG00000284163.1	MIR3620	100500810
ENSG00000266698	ENSG00000266698.1	MIR3945	100500818
ENSG00000266019	ENSG00000266019.1	MIR3609	100500819
ENSG00000284325	ENSG00000284325.1	MIR3655	100500820
ENSG00000266320	ENSG00000266320.1	MIR3909	100500826
ENSG00000284542	ENSG00000284542.1	MIR3614	100500827
ENSG00000284503	ENSG00000284503.1	MIR3652	100500842
ENSG00000264295	ENSG00000264295.1	MIR3922	100500843
ENSG00000284186	ENSG00000284186.1	MIR3615	100500847
ENSG00000283881	ENSG00000283881.1	MIR3916	100500849
ENSG00000265452	ENSG00000265452.1	MIR3682	100500850
ENSG00000265558	ENSG00000265558.1	MIR3918	100500851
ENSG00000284154	ENSG00000284154.1	MIR3605	100500853
ENSG00000265996	ENSG00000265996.1	MIR3671	100500854
ENSG00000266449	ENSG00000266449.1	MIR3713	100500855
ENSG00000266016	ENSG00000266016.3	MIR548Z	100500856
ENSG00000265828	ENSG00000265828.1	MIR3939	100500857
ENSG00000284140	ENSG00000284140.1	MIR3618	100500860
ENSG00000263813	ENSG00000263813.1	MIR3679	100500878
ENSG00000283237	ENSG00000283237.1	MIR550B1	100500883
ENSG00000284159	ENSG00000284159.1	MIR3940	100500888
